"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,04:13:00,04:13:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,04:25:00,04:25:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,04:33:00,04:33:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,04:45:00,04:45:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,04:57:00,04:57:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,05:11:00,05:11:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,05:17:00,05:17:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,05:25:00,05:25:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,05:30:00,05:30:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,05:32:00,05:32:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,05:40:00,05:40:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,05:42:00,05:42:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,05:50:00,05:50:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,05:52:00,05:52:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,06:00:00,06:00:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,06:02:00,06:02:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,06:10:00,06:10:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,06:12:00,06:12:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,06:20:00,06:20:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,06:22:00,06:22:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,06:30:00,06:30:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,06:32:00,06:32:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,06:40:00,06:40:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,06:42:00,06:42:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,06:50:00,06:50:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,06:52:00,06:52:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,07:00:00,07:00:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,07:02:00,07:02:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,07:10:00,07:10:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,07:12:00,07:12:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,07:20:00,07:20:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,07:22:00,07:22:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,07:30:00,07:30:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,07:32:00,07:32:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,07:40:00,07:40:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,07:42:00,07:42:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,07:50:00,07:50:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,07:52:00,07:52:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,08:00:00,08:00:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,08:02:00,08:02:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,08:10:00,08:10:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,08:12:00,08:12:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,08:20:00,08:20:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,08:22:00,08:22:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,08:30:00,08:30:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,08:32:00,08:32:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,08:40:00,08:40:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,08:42:00,08:42:00,2
"RED LINE TO SHILOH SCOTT","8TH AND PINE METROLINK STATION",CC0033,2,26,08:50:00,08:50:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","8TH AND PINE METROLINK STATION",CC0033,2,15,08:52:00,08:52:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","8TH AND PINE METROLINK STATION",333399,2,26,09:00:00,09:00:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","8TH AND PINE METROLINK STATION",333399,2,15,09:02:00,09:02:00,2
